latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,city
53.8414,-116.2441,306.3,1.5,1.2,2006-11-18,1928,Terra,MODIS,28,6.03,269.7,20.9,D,0,Edson
53.8234,-116.2002,304.2,1.5,1.2,2006-11-18,1928,Terra,MODIS,34,6.03,269.0,19.0,D,0,Edson
53.8217,-116.2204,325.4,2.1,1.4,2006-11-18,2116,Aqua,MODIS,77,6.03,269.1,82.8,D,0,Edson
53.8345,-116.2227,320.6,2.1,1.4,2006-11-18,2116,Aqua,MODIS,73,6.03,268.7,73.4,D,0,Edson
53.8326,-116.2551,315.4,2.1,1.4,2006-11-18,2116,Aqua,MODIS,64,6.03,269.0,58.8,D,0,Edson
53.8654,-116.178,322.5,1.2,1.1,2006-11-20,1916,Terra,MODIS,62,6.03,266.2,33.4,D,0,Edson
53.3144,-116.733,304.4,1.2,1.1,2006-11-20,1916,Terra,MODIS,51,6.03,268.6,14.4,D,0,Edson
53.3166,-116.7345,301.9,1.5,1.2,2006-11-20,2104,Aqua,MODIS,50,6.03,272.9,16.2,D,0,Edson
53.3505,-116.7204,306.7,1.5,1.2,2006-11-20,2104,Aqua,MODIS,64,6.03,273.3,21.7,D,0,Edson
53.3486,-116.7422,318.8,1.5,1.2,2006-11-20,2104,Aqua,MODIS,79,6.03,273.3,37.8,D,0,Edson
53.8599,-116.2016,314.1,1.6,1.2,2006-11-20,2104,Aqua,MODIS,70,6.03,272.1,34.0,D,0,Edson
53.5274,-116.1187,314.9,1.4,1.2,2006-12-05,1833,Terra,MODIS,71,6.03,267.4,30.0,D,0,Edson
53.5204,-116.1052,301.0,1.4,1.2,2006-12-05,1833,Terra,MODIS,16,6.03,267.8,13.9,D,0,Edson
53.5263,-116.1148,337.0,1.1,1.0,2006-12-05,2021,Aqua,MODIS,85,6.03,270.3,49.7,D,0,Edson
53.359,-116.0784,321.3,1.6,1.2,2006-12-06,2104,Aqua,MODIS,64,6.03,268.9,45.6,D,0,Edson
53.9159,-116.7674,313.9,3.0,1.7,2006-12-07,1959,Terra,MODIS,74,6.03,276.1,82.1,D,0,Edson
53.9168,-116.7741,313.9,3.0,1.7,2006-12-07,1959,Terra,MODIS,74,6.03,276.2,81.4,D,0,Edson
53.9173,-116.788,321.6,1.4,1.2,2006-12-07,2009,Aqua,MODIS,81,6.03,276.8,40.0,D,0,Edson
53.9455,-116.7256,327.4,1.0,1.0,2006-12-10,2039,Aqua,MODIS,85,6.03,273.0,31.2,D,0,Edson
53.9543,-116.7291,343.1,1.0,1.0,2006-12-10,2039,Aqua,MODIS,93,6.03,273.4,54.2,D,0,Edson
53.9522,-116.7443,344.5,1.0,1.0,2006-12-10,2039,Aqua,MODIS,94,6.03,274.1,56.7,D,0,Edson
53.9657,-116.0358,311.6,1.0,1.0,2006-12-12,2027,Aqua,MODIS,72,6.03,270.7,16.8,D,0,Edson
53.9274,-116.7285,354.4,1.0,1.0,2006-12-12,2027,Aqua,MODIS,98,6.03,273.6,82.9,D,0,Edson
53.9248,-116.7438,341.1,1.0,1.0,2006-12-12,2027,Aqua,MODIS,92,6.03,273.6,53.9,D,0,Edson
53.9053,-116.7718,313.6,1.7,1.3,2006-12-13,2110,Aqua,MODIS,70,6.03,273.2,38.5,D,0,Edson
53.9122,-116.7788,319.8,1.7,1.3,2006-12-13,2110,Aqua,MODIS,45,6.03,273.2,45.3,D,0,Edson
53.9235,-116.5667,306.6,2.1,1.4,2006-12-20,2116,Aqua,MODIS,64,6.03,274.0,35.1,D,0,Edson
53.8998,-116.5183,305.2,1.1,1.1,2006-12-22,1916,Terra,MODIS,61,6.03,269.5,14.5,D,0,Edson
53.8936,-116.5398,303.7,1.1,1.1,2006-12-22,1916,Terra,MODIS,57,6.03,269.9,13.0,D,0,Edson
