latitude,longitude,date,AWND,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDFG,WESD,WESF,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13
,,2014-12-13,30.846382556987116,16.635466666666666,33.5,1.2551565453200757,74.50732768490955,43.06586933238129,94.68393886850276,5.882491856677524,141.33333333333334,197.46666666666667,544.5253968253968,5.115635179153094,70.0998925886144,92.01725997842503,80.1951219512195,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,
,,2014-02-22,35.214778325123156,18.485440064561377,74.0,3.060468631897203,272.1740006718173,38.009809167112536,92.38948904517724,-24.541462631452195,497.0,257.02941176470586,2189.8197278911566,8.342485549132949,81.70255863539445,108.31008583690988,122.16666666666667,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,
,,2013-03-14,37.68804664723032,6.64982162471292,97.66666666666667,2.0306091902409817,217.2598143384409,67.01322703388296,113.62335685109544,-16.398019047619048,680.25,226.48275862068965,2277.8172920065253,3.9829457364341083,80.54074074074074,107.98286937901499,112.22222222222223,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0
,,2012-10-21,34.38582677165354,7.289935685729184,71.5,0.1755041075429425,8.335267175572518,103.44622675902296,168.2186793181442,50.20966278542265,464.0,206.12121212121212,20.02475685234306,0.010948905109489052,75.80851063829788,102.40217391304348,79.77777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
,,2014-07-14,31.121062992125985,29.17723854904013,50.0,0.0,0.63158669414189,211.1766733176129,277.87479603613644,152.57594058597894,509.25,207.59375,8.612597066436583,0.0,88.1431623931624,117.48546824542518,95.25531914893617,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,
,,2013-12-28,32.23743842364532,10.360845897340896,59.333333333333336,1.3406402775587447,138.31675363606084,34.418472273228055,80.81294863892148,-34.991906402756634,362.0,201.46666666666667,831.7792012057272,3.9670487106017194,78.56063829787234,103.77096774193548,93.02439024390245,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,
,,2012-01-12,45.17635270541082,35.33426974130955,0.0,8.186215913335824,119.88788487282463,11.887753205723843,65.79009472555045,-46.8194874060981,66.4,249.56666666666666,864.196905766526,16.020585048754064,95.56832971800434,131.63706992230854,126.97777777777777,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0
,,2013-11-08,35.7360157016683,15.239620590504243,60.5,0.6926775439426184,28.399399007055134,84.7450098903075,123.81984672823738,18.119045756746186,320.0,235.07142857142858,249.57474020783374,2.096703296703297,86.24814422057264,117.0998925886144,94.175,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,
,,2014-11-01,45.20891089108911,25.012581563863154,57.8,1.5752983189617629,10.858821992947629,88.87246531483459,131.85406703392053,28.46402434010361,242.2,195.97058823529412,40.70906200317965,9.133333333333333,96.61505376344086,129.41061755146262,101.12765957446808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
,,2012-05-27,39.27893175074184,19.07123238539297,66.0,0.4765611021649669,44.177759336099584,144.45486366985998,224.46604921256224,103.0989861058956,498.5,170.02857142857144,945.5308863025963,3.7574750830564785,87.98612593383137,119.67313915857605,109.66666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
,,2013-09-27,32.24340175953079,11.920142712416862,98.66666666666667,0.590709638371917,6.296313017306245,129.10442924018724,199.23577283258376,81.02282785930585,685.5,191.58620689655172,40.1523642732049,15.09032258064516,76.39787234042554,103.67532467532467,75.5952380952381,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,
,,2014-10-23,30.26372549019608,36.102067353734505,43.0,0.093099121706399,6.479481935923654,109.90684544812986,172.21608624213522,60.5458225388601,302.6666666666667,175.38709677419354,9.963651732882502,0.0,68.8816631130064,92.01825993555317,96.33333333333333,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,
,,2012-05-30,33.2251720747296,35.200023576992486,37.75,0.009868766404199475,35.70836065573771,165.67671938212578,234.38320096529617,102.98216004145385,386.4,214.94285714285715,847.2502226179876,0.0,82.83191489361703,112.38585209003216,95.73469387755102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
,,2012-07-06,27.37869822485207,19.487546179360187,84.6,0.0,4.817266424562562,198.79353647276085,286.44074376417234,149.86435732455485,742.8333333333334,215.11764705882354,133.56165616561657,0.010344827586206896,73.61711229946523,102.01311475409837,94.47916666666667,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0
,,2012-01-28,40.25252525252525,22.651773520115505,33.0,5.953552162384566,189.36292548298067,-1.0641410352588148,63.930758717494086,-42.06720409854592,237.0,254.375,1545.5425867507886,16.676113360323885,90.4945652173913,125.23068432671081,119.30232558139535,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0
,,2012-02-20,39.81395348837209,23.426562978853816,87.2,6.8725004586314435,208.21978268175198,17.52405721716515,73.4952862937114,-35.063883712262395,511.5,208.64705882352942,1522.0542437779195,29.63561320754717,85.2124183006536,114.92341842397336,94.26666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
